stop_id,stop_name,stop_lat,stop_lon,node_id
par_4_1,PLAZA DE CASTILLA,40.4669,-3.68917,0
par_4_10,TRIBUNAL,40.42619,-3.7011,1
par_4_11,GRAN VIA,40.42001,-3.7018,2
par_4_12,SOL,40.41688,-3.70326,3
par_4_13,TIRSO DE MOLINA,40.41235,-3.70466,4
par_4_14,ANTON MARTIN,40.41246,-3.69937,5
par_4_15,ESTACION DEL ARTE,40.40885,-3.69249,6
par_4_16,ATOCHA,40.40659,-3.68938,7
par_4_17,MENENDEZ PELAYO,40.40445,-3.68098,8
par_4_18,PACIFICO,40.40126,-3.67514,9
par_4_19,PUENTE DE VALLECAS,40.39819,-3.66906,10
par_4_2,VALDEACEDERAS,40.46442,-3.69506,11
par_4_20,NUEVA NUMANCIA,40.39554,-3.66414,12
par_4_21,PORTAZGO,40.39266,-3.65868,13
par_4_22,BUENOS AIRES,40.39156,-3.65391,14
par_4_23,ALTO DEL ARENAL,40.38977,-3.64522,15
par_4_24,MIGUEL HERNANDEZ,40.38732,-3.63951,16
par_4_25,SIERRA DE GUADALUPE,40.38216,-3.62472,17
par_4_26,VILLA DE VALLECAS,40.3796,-3.6213,18
par_4_261,CHAMARTIN,40.47203,-3.68259,19
par_4_262,BAMBU,40.47682,-3.67637,20
par_4_263,PINAR DE CHAMARTIN,40.48014,-3.6668,21
par_4_27,CONGOSTO,40.37238,-3.61884,22
par_4_293,LA GAVIA,40.37019,-3.61346,23
par_4_294,LAS SUERTES,40.36323,-3.59953,24
par_4_295,VALDECARROS,40.36007,-3.59316,25
par_4_3,TETUAN,40.46055,-3.69825,26
par_4_4,ESTRECHO,40.45429,-3.70302,27
par_4_5,ALVARADO,40.45033,-3.70331,28
par_4_6,CUATRO CAMINOS,40.44697,-3.70397,29
par_4_7,RIOS ROSAS,40.44198,-3.70133,30
par_4_8,IGLESIA,40.43492,-3.69898,31
par_4_9,BILBAO,40.42906,-3.70218,32
par_4_260,LA ELIPA,40.42662,-3.65052,33
par_4_28,VENTAS,40.43088,-3.66366,34
par_4_29,MANUEL BECERRA,40.4279,-3.66926,35
par_4_30,GOYA,40.42455,-3.67591,36
par_4_31,PRINCIPE DE VERGARA,40.42294,-3.68012,37
par_4_32,RETIRO,40.42031,-3.68624,38
par_4_322,LA ALMUDENA,40.42361,-3.63914,39
par_4_323,ALSACIA,40.41829,-3.62351,40
par_4_324,AVENIDA DE GUADALAJARA,40.42239,-3.61206,41
par_4_325,LAS ROSAS,40.42375,-3.60331,42
par_4_33,BANCO DE ESPAÑA,40.41922,-3.69497,43
par_4_34,SEVILLA,40.41805,-3.69925,44
par_4_35,SOL,40.41685,-3.70326,45
par_4_36,OPERA,40.41809,-3.70942,46
par_4_37,SANTO DOMINGO,40.42132,-3.70796,47
par_4_38,NOVICIADO,40.42484,-3.70742,48
par_4_39,SAN BERNARDO,40.43001,-3.70557,49
par_4_40,QUEVEDO,40.43322,-3.70433,50
par_4_41,CANAL,40.43841,-3.70433,51
par_4_42,CUATRO CAMINOS,40.44697,-3.70392,52
par_4_264,HORTALEZA,40.47537,-3.65257,53
par_4_265,MANOTERAS,40.47687,-3.6629,54
par_4_266,PINAR DE CHAMARTIN,40.48014,-3.66676,55
par_4_54,ARGÜELLES,40.4306,-3.71596,56
par_4_55,SAN BERNARDO,40.42966,-3.70567,57
par_4_56,BILBAO,40.42885,-3.70114,58
par_4_57,ALONSO MARTINEZ,40.42772,-3.69594,59
par_4_58,COLON,40.42542,-3.69101,60
par_4_59,SERRANO,40.42543,-3.68663,61
par_4_60,VELAZQUEZ,40.42503,-3.68292,62
par_4_61,GOYA,40.42481,-3.67685,63
par_4_62,LISTA,40.42917,-3.67541,64
par_4_63,DIEGO DE LEON,40.43468,-3.67495,65
par_4_64,AVENIDA DE AMERICA,40.43803,-3.67664,66
par_4_65,PROSPERIDAD,40.44419,-3.67482,67
par_4_66,ALFONSO XIII,40.44825,-3.66791,68
par_4_67,AVENIDA DE LA PAZ,40.45354,-3.66118,69
par_4_68,ARTURO SORIA,40.45583,-3.65618,70
par_4_69,ESPERANZA,40.45945,-3.64582,71
par_4_70,CANILLAS,40.46381,-3.6356,72
par_4_71,MAR DE CRISTAL,40.46943,-3.63832,73
par_4_72,SAN LORENZO,40.47447,-3.63958,74
par_4_73,PARQUE DE SANTA MARIA,40.47711,-3.64524,75
par_4_100,ALUCHE,40.38563,-3.7608,76
par_4_101,EMPALME,40.39057,-3.76535,77
par_4_102,CAMPAMENTO,40.39481,-3.76813,78
par_4_103,CASA DE CAMPO,40.40324,-3.76101,79
par_4_252,ALAMEDA DE OSUNA,40.45779,-3.58752,80
par_4_253,EL CAPRICHO,40.45347,-3.59401,81
par_4_74,CANILLEJAS,40.44942,-3.60816,82
par_4_75,TORRE ARIAS,40.44374,-3.61699,83
par_4_76,SUANZES,40.44085,-3.62684,84
par_4_77,CIUDAD LINEAL,40.43805,-3.63816,85
par_4_78,PUEBLO NUEVO,40.43569,-3.64282,86
par_4_79,QUINTANA,40.43358,-3.64736,87
par_4_80,EL CARMEN,40.43189,-3.65757,88
par_4_81,VENTAS,40.43088,-3.66361,89
par_4_82,DIEGO DE LEON,40.43235,-3.67426,90
par_4_83,NUÑEZ DE BALBOA,40.43278,-3.68258,91
par_4_84,RUBEN DARIO,40.43316,-3.68954,92
par_4_85,ALONSO MARTINEZ,40.42828,-3.69502,93
par_4_86,CHUECA,40.42293,-3.69762,94
par_4_87,GRAN VIA,40.41999,-3.7018,95
par_4_88,CALLAO,40.42008,-3.70566,96
par_4_89,OPERA,40.41809,-3.70935,97
par_4_90,LA LATINA,40.41128,-3.70816,98
par_4_91,PUERTA DE TOLEDO,40.40704,-3.71105,99
par_4_92,ACACIAS,40.40387,-3.70664,100
par_4_93,PIRAMIDES,40.4026,-3.71138,101
par_4_94,MARQUES DE VADILLO,40.39736,-3.71596,102
par_4_95,URGEL,40.39335,-3.7236,103
par_4_96,OPORTO,40.38846,-3.73132,104
par_4_97,VISTA ALEGRE,40.38885,-3.73982,105
par_4_98,CARABANCHEL,40.38783,-3.74487,106
par_4_99,EUGENIA DE MONTIJO,40.38439,-3.75121,107
par_4_104,LAGUNA,40.39923,-3.74429,108
par_4_105,CARPETANA,40.3927,-3.74099,109
par_4_106,OPORTO,40.38847,-3.73126,110
par_4_107,OPAÑEL,40.3869,-3.72313,111
par_4_108,PLAZA ELIPTICA,40.3846,-3.71837,112
par_4_109,USERA,40.3871,-3.7069,113
par_4_110,LEGAZPI,40.39116,-3.69505,114
par_4_111,MENDEZ ALVARO,40.39538,-3.67814,115
par_4_112,PACIFICO,40.40207,-3.67386,116
par_4_113,CONDE DE CASAL,40.40697,-3.67041,117
par_4_114,SAINZ DE BARANDA,40.41507,-3.66951,118
par_4_115,ODONNELL,40.42289,-3.6686,119
par_4_116,MANUEL BECERRA,40.4279,-3.66921,120
par_4_117,DIEGO DE LEON,40.43295,-3.67294,121
par_4_118,AVENIDA DE AMERICA,40.43804,-3.67658,122
par_4_119,REPUBLICA ARGENTINA,40.44379,-3.68406,123
