trip_id,stop_id,next_stop_id,travel_time,u,v
4_I12-071_2023I12_2_1_4__7_A__,par_4_148,par_4_147,156.0,152,151
4_I12-071_2023I12_2_1_4__7_A__,par_4_147,par_4_146,147.0,151,150
4_I12-071_2023I12_2_1_4__7_A__,par_4_146,par_4_145,189.0,150,149
4_I12-071_2023I12_2_1_4__7_A__,par_4_145,par_4_144,99.0,149,148
4_I12-071_2023I12_2_1_4__7_A__,par_4_144,par_4_143,61.0,148,147
4_I12-071_2023I12_2_1_4__7_A__,par_4_143,par_4_142,81.0,147,146
4_I12-071_2023I12_2_1_4__7_A__,par_4_142,par_4_141,141.0,146,145
4_I12-071_2023I12_2_1_4__7_A__,par_4_141,par_4_140,95.0,145,144
4_I12-071_2023I12_2_1_4__7_A__,par_4_140,par_4_139,93.0,144,143
4_I12-071_2023I12_2_1_4__7_A__,par_4_139,par_4_138,120.0,143,142
4_I12-071_2023I12_2_1_4__7_A__,par_4_138,par_4_137,126.0,142,141
4_I12-071_2023I12_2_1_4__7_A__,par_4_137,par_4_136,92.0,141,140
4_I12-071_2023I12_2_1_4__7_A__,par_4_136,par_4_135,102.0,140,139
